Name,Category,EarliestLicDate,Expires,FullAddress,Neighbourhood,LAT,LONG,gislink,IssuedYear,ExpiredYear
678595 BC INC,Business Services,20130212,20221231,"2725 ROCK BAY AVE
VICTORIA BC  V8T 4R8",Burnside,48.43840264,-123.369785,10708001,2013,2022
A TO SPORTS EX,Business Services,20200129,20221231,"468 BURNSIDE RD E
VICTORIA BC  V8T 2X2",Burnside,48.44558679,-123.3761437,10742009,2020,2022
"AAA VICTORIA TRANSPORT & TOWING INC
TOWING AND TIRE & AUTO REPAIR",Business Services,20171208,20211231,"550-2950 DOUGLAS ST
VICTORIA BC  V8T 4N4",Burnside,48.44303612,-123.3705246,10736018,2017,2021
ADANAC RECOVERY LTD,Business Services,20130227,20221231,"655 QUEENS AVE
VICTORIA BC  V8T 1L9",Burnside,48.43386333,-123.3658212,1052003,2013,2022
ADVANCED COLLECTION SERVICES LTD,Business Services,20130926,20221231,"200-2840 NANAIMO ST
VICTORIA BC  V8T 4W9",Burnside,48.44063382,-123.3657088,9692024,2013,2022
AMBIT GENDER DIVERSITY CONSULTING,Business Services,20170524,20221231,"2031 STORE ST
VICTORIA BC  V8T 5L9",Burnside,48.43227105,-123.3693538,V00561017,2017,2022
ANDREW SHERET LIMITED,Business Services,20150109,20221231,"401-740 HILLSIDE AVE
VICTORIA BC  V8T 1Z4",Burnside,48.43903393,-123.3656138,V06941011,2015,2022
ARISTOS MAIL TECH INC,Business Services,20121130,20221231,"C-488 BAY ST
VICTORIA BC  V8T 5H2",Burnside,48.43563985,-123.373743,017-727-936,2012,2022
ASAP APPLIANCE REPAIR AND INSTALLATION,Business Services,20191209,20221231,"1-561 HILLSIDE AVE
VICTORIA BC  V8T 1Y8",Burnside,48.43724389,-123.3707185,10713019,2019,2022
AVALON ACCOUNTING,Business Services,20160218,20221231,"2031 STORE ST
VICTORIA BC  V8T 5L9",Burnside,48.43227105,-123.3693538,V00561017,2016,2022
BANYAN GROUP OF COMPANIES LTD,Business Services,20181211,20221231,"107-401 GARBALLY RD
VICTORIA BC  V8T 5M3",Burnside,48.4395146,-123.375952,10726021,2018,2022
BELAIR REALTY GROUP VICTORIA,Business Services,20220721,20221231,"550-2950 DOUGLAS ST
VICTORIA BC  V8T 4N4",Burnside,48.44303612,-123.3705246,10736018,2022,2022
BEST SERVICE PROS,Business Services,20170825,20221231,"1-625 ALPHA ST
VICTORIA BC  V8Z 1B5",Burnside,48.44678656,-123.3735736,10738007,2017,2022
BETA STREET MEDIA INC,Business Services,20120321,20201231,"1-415 DUNEDIN ST
VICTORIA BC  V8T 5G8",Burnside,48.44052092,-123.3760621,023-874-147,2012,2020
BEVERLY CARTER NOTARY PUBLIC,Business Services,20130722,20221231,"240-2950 DOUGLAS ST
VICTORIA BC  V8T 4N4",Burnside,48.44303612,-123.3705246,10736018,2013,2022
BIDGOOD & CO INTERIORS,Business Services,20141229,20221231,"C-2001 DOUGLAS ST
VICTORIA BC  V8T 4K9",Burnside,48.43236053,-123.3641241,1014025,2014,2022
BILLI LABS INC,Business Services,20140224,20221231,"2031 STORE ST
VICTORIA BC  V8T 5L9",Burnside,48.43227105,-123.3693538,V00561017,2014,2022
BIOLOGICA ENVIRONMENTAL SERVICES LTD,Business Services,20120106,20221231,"F-488 BAY ST
VICTORIA BC  V8T 5H2",Burnside,48.43563985,-123.373743,017-727-901,2012,2022
BIOLOGICA ENVIRONMENTAL SERVICES LTD,Business Services,20220222,20221231,"485 JOHN ST
VICTORIA BC  V8T 5H1",Burnside,48.43563985,-123.373743,017-727-821,2022,2022
BLANSHARD ST WINERY,Business Services,20121220,20221231,"100-661 BURNSIDE RD E
VICTORIA BC  V8T 2X9",Burnside,48.44230903,-123.3705526,10730009,2012,2022
BLAST IT DO IT YOURSELF SANDBLASTING,Business Services,20120112,20221231,"2639 TURNER ST
VICTORIA BC  V8T 4T8",Burnside,48.43645585,-123.3748683,000-160-768,2012,2022
BLUE ANVIL LABOUR LEASING SERVICES LTD,Business Services,20190423,20221231,"2022 DOUGLAS ST
VICTORIA BC  V8T 4L1",Burnside,48.43234596,-123.3651555,1050013,2019,2022
BLUE ROBOTICS,Business Services,20211118,20221231,"2000 DOUGLAS ST
VICTORIA BC  V8T 4L1",Burnside,48.43218581,-123.3648966,1050006,2021,2022
BOSLEY'S PET FOOD PLUS INC,Business Services,20120104,20221231,"B-491 BURNSIDE RD E
VICTORIA BC  V8T 2X3",Burnside,48.44464815,-123.3758715,10744020,2012,2022
BOSS DESIGN LTD,Business Services,20210112,20221231,"2031 STORE ST
VICTORIA BC  V8T 5L9",Burnside,48.43227105,-123.3693538,V00561017,2021,2022
BRENTLIFT SERVICE & SALES,Business Services,20121127,20221231,"A-597 HILLSIDE AVE
VICTORIA BC  V8T 1Y8",Burnside,48.43739405,-123.3699433,10713009,2012,2022
BREWHA EQUIPMENT CO LTD,Business Services,20170321,20221231,"3154 DELTA ST
VICTORIA BC  V8Z 1A7",Burnside,48.446376,-123.3751068,10741006,2017,2022
BURNSIDE ANIMAL HOSPITAL,Business Services,20220325,20221231,"691 BURNSIDE RD E
VICTORIA BC  V8T 2X9",Burnside,48.44198255,-123.3697688,10730014,2022,2022
CANADIAN SELF STORAGE VALUATION SERVICES INC,Business Services,20190308,20221231,"7-410 GARBALLY RD
VICTORIA BC  V8T 2K1",Burnside,48.44052092,-123.3760621,024-974-595,2019,2022
CAPITAL CITY REFRIGERATION LTD,Business Services,20190514,20221231,"5-410 GARBALLY RD
VICTORIA BC  V8T 2K1",Burnside,48.44052092,-123.3760621,024-974-579,2019,2022
CASCADES RECOVERY INC,Business Services,20121224,20221231,"2800 BRIDGE ST
VICTORIA BC  V8T 4T3",Burnside,48.438091,-123.3749095,10726034,2012,2022
CBI HEALTH CENTER,Business Services,20120117,20221231,"605 DISCOVERY ST
VICTORIA BC  V8T 5G4",Burnside,48.43157529,-123.3661104,1049001,2012,2022
CEANESSE KITCHENS LTD,Business Services,20120314,20221231,"3-661 ALPHA ST
VICTORIA BC  V8Z 1B5",Burnside,48.44685991,-123.3731493,000-861-413,2012,2022
CH2M HILL CANADA LIMITED,Business Services,20190304,20221231,"740 HILLSIDE AVE
VICTORIA BC  V8T 1Z4",Burnside,48.43903393,-123.3656138,V06941011,2019,2022
CLUB KWENCH,Business Services,20170911,20221231,"2031 STORE ST
VICTORIA BC  V8T 5L9",Burnside,48.43227105,-123.3693538,V00561017,2017,2022
COAST CAPITAL SAVINGS FEDERAL CREDIT UNION,Business Services,20130110,20221231,"4TH FL-2950 JUTLAND RD
VICTORIA BC  V8T 5K6",Burnside,48.43939734,-123.3789964,10727154,2013,2022
COLDWELL BANKER OCEANSIDE REAL ESTATE,Business Services,20181026,20221231,"3194 DOUGLAS ST
VICTORIA BC  V8Z 3K6",Burnside,48.44750945,-123.3726967,024-589-241,2018,2022
COLUMBIA ENERGY,Business Services,20121220,20221231,"2519 ROCK BAY AVE
VICTORIA BC  V8T 4R5",Burnside,48.43633097,-123.3686754,10706013,2012,2022
CO-OPERATORS GENERAL INSURANCE COMPANY,Business Services,20211217,20221231,"30-797 HILLSIDE AVE
VICTORIA BC  V8T 1Z5",Burnside,48.43825197,-123.3641279,9696071,2021,2022
DANADA ENTERPRISES LTD,Business Services,20120124,20221231,"2519 ROCK BAY AVE
VICTORIA BC  V8T 4R5",Burnside,48.43633097,-123.3686754,10706013,2012,2022
DENMAN PRINT WORKS,Business Services,20120104,20221231,"2643 TURNER ST
VICTORIA BC  V8T 4T8",Burnside,48.43645585,-123.3748683,000-160-750,2012,2022
DIGITAL DIRECT PRINTING LTD,Business Services,20121220,20221231,"564 HILLSIDE AVE
VICTORIA BC  V8T 1Y9",Burnside,48.43772996,-123.370863,10712019,2012,2022
DISCO INNOVATION STUDIO,Business Services,20201130,20221231,"2031 STORE ST
VICTORIA BC  V8T 5L9",Burnside,48.43227105,-123.3693538,V00561017,2020,2022
DODD'S FURNITURE LTD,Business Services,20220303,20221231,"650 GARBALLY RD
VICTORIA BC  V8T 2K2",Burnside,48.4412316,-123.3704724,10729021,2022,2022
DOM'S ORGANICS INC,Business Services,20200728,20221231,"1-615 DAVID ST
VICTORIA BC  V8T 2C9",Burnside,48.43837548,-123.369301,024-722-316,2020,2022
DROID MEDIA COMMUNICATIONS,Business Services,20201027,20201231,"310-2950 DOUGLAS ST
VICTORIA BC  V8T 4N4",Burnside,48.44303612,-123.3705246,10736018,2020,2020
E.S. WILLIAMS & ASSOCIATES INC.,Business Services,20201117,20221231,"6-416 GARBALLY RD
VICTORIA BC  V8T 2K1",Burnside,48.44036994,-123.375408,018-502-059,2020,2022
ECS ELECTRICAL CABLE SUPPLY LTD,Business Services,20130108,20221231,"404 GARBALLY RD
VICTORIA BC  V8T 2K1",Burnside,48.44002638,-123.377115,10747005,2013,2022
ELLICE RECYCLE LTD,Business Services,20120104,20221231,"2525 BRIDGE ST
VICTORIA BC  V8T 4S7",Burnside,48.43600689,-123.3721657,10715007,2012,2022
ELLICE RECYCLE LTD,Business Services,20120104,20221231,"507 ELLICE ST
VICTORIA BC  V8T 2G8",Burnside,48.43837815,-123.37282,10711035,2012,2022
EMTERRA ENVIRONMENTAL,Business Services,20130118,20221231,"304 JOHN ST
VICTORIA BC  V8T 1T3",Burnside,48.43602829,-123.3761899,10721001,2013,2022
EVERGREEN BUSINESS SERVICES LTD,Business Services,20120228,20221231,"550-2950 DOUGLAS ST
VICTORIA BC  V8T 4N4",Burnside,48.44303612,-123.3705246,10736018,2012,2022
EVO CAR SHARE,Business Services,20210517,20221231,"712 BAY ST
VICTORIA BC  V8T 1R2",Burnside,48.43598238,-123.3647507,V06971013,2021,2022
